location,temperature,time
Tokyo,86 °F,Wed 12:26 pm
Copenhagen *,57 °F,Wed 5:26 am
Melbourne,59 °F,Wed 1:26 pm
Toronto *,70 °F,Tue 11:26 pm
Dallas *,93 °F,Tue 10:26 pm
Mexico City,59 °F,Tue 9:26 pm
Vancouver *,64 °F,Tue 8:26 pm
Dar es Salaam,72 °F,Wed 6:26 am
Miami *,78 °F,Tue 11:26 pm
Vienna *,59 °F,Wed 5:26 am
Darwin,86 °F,Wed 12:56 pm
Minneapolis *,84 °F,Tue 10:26 pm
Warsaw *,59 °F,Wed 5:26 am
Denver *,74 °F,Tue 9:26 pm
Minsk,55 °F,Wed 6:26 am
Washington DC *,88 °F,Tue 11:26 pm
Detroit *,81 °F,Tue 11:26 pm
Montevideo,54 °F,Wed 12:26 am
Winnipeg *,66 °F,Tue 10:26 pm
Dhaka,80 °F,Wed 9:26 am
Montréal *,64 °F,Tue 11:26 pm
Yangon,81 °F,Wed 9:56 am
Doha,95 °F,Wed 6:26 am
Moscow,65 °F,Wed 6:26 am
Zagreb *,57 °F,Wed 5:26 am
Dubai,95 °F,Wed 7:26 am
Mumbai,81 °F,Wed 8:56 am
Zürich *,52 °F,Wed 5:26 am
Dublin *,59 °F,Wed 4:26 am
Nairobi,59 °F,Wed 6:26 am
,,
